Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,295,234,117,51760.789062,0.002260
2,1000,0.2,0.2,50.0,1000,2518,1927,0,49851.203125,0.000000
3,1000,0.2,0.2,50.0,1000,296,228,116,50087.898438,0.002316
4,1000,0.2,0.2,50.0,1000,2533,2010,999,51003.855469,0.019587
5,1000,0.2,0.2,50.0,1000,220,170,83,50008.550781,0.001660
6,1000,0.2,0.2,50.0,1000,2516,2013,998,49374.808594,0.020213
7,1000,0.2,0.2,50.0,1000,230,183,89,47987.191406,0.001855
8,1000,0.2,0.2,50.0,1000,2364,1907,998,51323.941406,0.019445
9,1000,0.2,0.2,50.0,1000,2548,2035,999,47853.875000,0.020876
10,1000,0.2,0.2,50.0,1000,2489,1994,999,50473.136719,0.019793
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,143,66,22,50899.480469,0.000432
2,1000,0.4,0.2,50.0,1000,126,17,0,48972.476562,0.000000
3,1000,0.4,0.2,50.0,1000,162,100,50,49952.398438,0.001001
4,1000,0.4,0.2,50.0,1000,148,15,0,50920.796875,0.000000
5,1000,0.4,0.2,50.0,1000,125,55,18,49845.371094,0.000361
6,1000,0.4,0.2,50.0,1000,156,63,26,49792.308594,0.000522
7,1000,0.4,0.2,50.0,1000,145,61,21,48171.945312,0.000436
8,1000,0.4,0.2,50.0,1000,199,120,52,50744.355469,0.001025
9,1000,0.4,0.2,50.0,1000,129,65,18,48101.582031,0.000374
10,1000,0.4,0.2,50.0,1000,145,78,31,50403.003906,0.000615
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,172,11,0,51294.019531,0.000000
2,1000,0.6,0.2,50.0,1000,153,12,0,49210.800781,0.000000
3,1000,0.6,0.2,50.0,1000,149,41,13,50683.652344,0.000256
4,1000,0.6,0.2,50.0,1000,177,28,14,50140.117188,0.000279
